,url
0,6987367
1,6987366
2,6987365
3,6987364
4,6987363
5,6987361
6,6987360
7,6987359
8,6987358
9,6987357
10,6987356
11,6987355
12,6987354
13,6987353
14,6987352
15,6987351
16,6987350
17,6987349
18,6987348
19,6987347
20,6987346
21,6987345
22,6987344
23,6987343
24,6987342
25,6987341
26,6987340
27,6987339
28,6987338
29,6987337
30,6987336
31,6987335
32,6987334
33,6987333
34,6987332
35,6987331
36,6987330
37,6987329
38,6987328
39,6987327
40,6987326
41,6987325
42,6987324
43,6987323
44,6987322
45,6987321
46,6987320
47,6987318
48,6987317
49,6987315
50,6987314
51,6987313
52,6987312
53,6987311
54,6987310
55,6987309
56,6987308
57,6987307
58,6987306
59,6987305
60,6987304
61,6987303
62,6987302
63,6987301
64,6987300
65,6987299
66,6987298
67,6987297
68,6987296
69,6987295
70,6987294
71,6987293
72,6987292
73,6987291
74,6987290
75,6987289
76,6987288
77,6987287
78,6987286
79,6987285
80,6987284
81,6987282
82,6987281
83,6987280
84,6987279
85,6987278
86,6987277
87,6987276
88,6987275
89,6987274
90,6987273
91,6987272
92,6987271
93,6987270
94,6987269
95,6987268
96,6987267
97,6987266
98,6987265
99,6987264
100,6987263
101,6987262
102,6987261
103,6987260
104,6987259
105,6987257
106,6987256
107,6987255
108,6987254
109,6987253
110,6987252
111,6987251
112,6987250
113,6987249
114,6987248
115,6987247
116,6987246
117,6987245
118,6987244
119,6987243
120,6987242
121,6987241
122,6987240
123,6987239
124,6987238
125,6987237
126,6987236
127,6987235
128,6987234
129,6987233
130,6987232
131,6987231
132,6987230
133,6987229
134,6987228
135,6987227
136,6987226
137,6987225
138,6987224
139,6987223
140,6987222
141,6987221
142,6987220
143,6987219
144,6987218
145,6987217
146,6987216
147,6987215
148,6987214
149,6987213
150,6987212
151,6987211
152,6987210
153,6987209
154,6987208
155,6987207
156,6987206
157,6987205
158,6987204
159,6987203
160,6987202
161,6987201
162,6987200
163,6987199
164,6987198
165,6987197
166,6987196
167,6987195
168,6987194
169,6987193
170,6987192
171,6987191
172,6987190
173,6987189
174,6987188
175,6987187
176,6987186
177,6987185
178,6987184
179,6987183
180,6987182
181,6987181
182,6987180
183,6987179
184,6987177
185,6987176
186,6987175
187,6987174
188,6987173
189,6987172
190,6987171
191,6987170
192,6987169
193,6987168
194,6987167
195,6987166
196,6987165
197,6987164
198,6987163
199,6987162
200,6987161
201,6987160
202,6987159
203,6987158
204,6987157
205,6987156
206,6987155
207,6987154
208,6987153
209,6987152
210,6987151
211,6987150
212,6987149
213,6987148
214,6987147
215,6987146
216,6987145
217,6987144
218,6987143
219,6987142
220,6987141
221,6987140
222,6987139
223,6987138
224,6987137
225,6987136
226,6987135
227,6987134
228,6987133
229,6987132
230,6987131
231,6987130
232,6987129
233,6987128
234,6987127
235,6987126
236,6987125
237,6987124
238,6987123
239,6987122
240,6987121
241,6987120
242,6987119
243,6987118
244,6987117
245,6987116
246,6987115
247,6987114
248,6987113
249,6987109
250,6987108
251,6987107
252,6987106
253,6987105
254,6987104
255,6987103
256,6987102
257,6987101
258,6987100
259,6987099
260,6987098
261,6987097
262,6987096
263,6987095
264,6987094
265,6987092
266,6987091
267,6987090
268,6987089
269,6987088
270,6987087
271,6987086
272,6987085
273,6987083
274,6987082
275,6987081
276,6987080
277,6987079
278,6987078
279,6987077
280,6987076
281,6987075
282,6987074
283,6987073
284,6987072
285,6987071
286,6987070
287,6987069
288,6987068
289,6987067
290,6987066
291,6987065
292,6987064
293,6987063
294,6987062
295,6987061
296,6987060
297,6987059
298,6987058
299,6987057
300,6987056
301,6987055
